;FDATE;DEMAND;BETWEEN_;AND_;DEST_FROM;DEST_TO
3100;09-01-2020;13;2020-01-09 10:00:00;2020-01-09 15:00:00;CEA_from;EBJ_end
4154;09-01-2020;3;2020-01-09 14:00:00;2020-01-09 19:00:00;CEA_from;EBJ_end
20783;09-01-2020;8;2020-01-09 05:00:00;2020-01-09 10:00:00;CEA_from;HAR_to
29205;09-01-2020;12;2020-01-09 07:00:00;2020-01-09 12:00:00;DAF_from;EBJ_end
39141;09-01-2020;7;2020-01-09 17:00:00;2020-01-09 21:00:00;DAF_from;NSA_to
45774;09-01-2020;12;2020-01-09 08:00:00;2020-01-09 14:00:00;EBJ_start;CEA_to
53011;09-01-2020;4;2020-01-09 04:00:00;2020-01-09 09:00:00;EBJ_start;DAF_to
60445;09-01-2020;13;2020-01-09 08:00:00;2020-01-09 13:00:00;EBJ_start;GOC_to
63218;09-01-2020;2;2020-01-09 08:00:00;2020-01-09 13:00:00;EBJ_start;HAL_to
63406;09-01-2020;1;2020-01-09 12:00:00;2020-01-09 17:00:00;EBJ_start;HAL_to
70311;09-01-2020;6;2020-01-09 12:00:00;2020-01-09 17:00:00;EBJ_start;MGU_to
81103;09-01-2020;10;2020-01-09 05:00:00;2020-01-09 09:00:00;EBJ_start;NSA_to
81139;09-01-2020;14;2020-01-09 15:00:00;2020-01-09 21:00:00;EBJ_start;NSA_to
81355;09-01-2020;11;2020-01-09 04:00:00;2020-01-09 09:00:00;EBJ_start;NSA_to
100684;09-01-2020;14;2020-01-09 10:00:00;2020-01-09 15:00:00;GOC_from;EBJ_end
111757;09-01-2020;1;2020-01-09 06:00:00;2020-01-09 10:00:00;GOC_from;SKJ_to
113037;09-01-2020;5;2020-01-09 17:00:00;2020-01-09 23:00:00;HAL_from;EBJ_end
113089;09-01-2020;2;2020-01-09 13:00:00;2020-01-09 19:00:00;HAL_from;EBJ_end
113264;09-01-2020;2;2020-01-09 09:00:00;2020-01-09 15:00:00;HAL_from;EBJ_end
119217;09-01-2020;5;2020-01-09 17:00:00;2020-01-09 22:00:00;HAL_from;HBC_to
123262;09-01-2020;10;2020-01-09 18:00:00;2020-01-09 23:00:00;HBC_from;EBJ_end
132257;09-01-2020;8;2020-01-09 07:00:00;2020-01-09 11:00:00;HBC_from;HAL_to
141072;09-01-2020;11;2020-01-09 14:00:00;2020-01-09 19:00:00;MGU_from;EBJ_end
144247;09-01-2020;3;2020-01-09 10:00:00;2020-01-09 15:00:00;MGU_from;EBJ_end
156972;09-01-2020;4;2020-01-09 05:00:00;2020-01-09 09:00:00;NSA_from;DAF_to
156977;09-01-2020;11;2020-01-09 07:00:00;2020-01-09 11:00:00;NSA_from;DAF_to
157674;09-01-2020;11;2020-01-09 06:00:00;2020-01-09 11:00:00;NSA_from;EBJ_end
157778;09-01-2020;2;2020-01-09 07:00:00;2020-01-09 12:00:00;NSA_from;EBJ_end
161834;09-01-2020;1;2020-01-09 17:00:00;2020-01-09 21:00:00;NSA_from;HAL_to
161865;09-01-2020;12;2020-01-09 17:00:00;2020-01-09 21:00:00;NSA_from;HBC_to
163187;09-01-2020;1;2020-01-09 18:00:00;2020-01-09 23:00:00;SKJ_from;EBJ_end
