;FDATE;DEMAND;BETWEEN_;AND_;DEST_FROM;DEST_TO
4948;04-09-2019;16;2019-09-04 17:00:00;2019-09-04 22:00:00;CEA_from;EBJ_end
17612;04-09-2019;9;2019-09-04 05:00:00;2019-09-04 10:00:00;CEA_from;GOC_to
18141;04-09-2019;7;2019-09-04 17:00:00;2019-09-04 21:00:00;CEA_from;GOC_to
22102;04-09-2019;1;2019-09-04 05:00:00;2019-09-04 09:00:00;CEA_from;MGU_to
23972;04-09-2019;2;2019-09-04 17:00:00;2019-09-04 21:00:00;CEA_from;TYW_to
29885;04-09-2019;16;2019-09-04 13:00:00;2019-09-04 18:00:00;DAF_from;EBJ_end
44639;04-09-2019;4;2019-09-04 15:00:00;2019-09-04 21:00:00;EBJ_start;CEA_to
51962;04-09-2019;14;2019-09-04 12:00:00;2019-09-04 17:00:00;EBJ_start;DAF_to
59216;04-09-2019;14;2019-09-04 05:00:00;2019-09-04 10:00:00;EBJ_start;GOC_to
62882;04-09-2019;1;2019-09-04 15:00:00;2019-09-04 21:00:00;EBJ_start;HAL_to
63780;04-09-2019;7;2019-09-04 12:00:00;2019-09-04 17:00:00;EBJ_start;HAR_to
65822;04-09-2019;4;2019-09-04 15:00:00;2019-09-04 21:00:00;EBJ_start;HBC_to
72088;04-09-2019;13;2019-09-04 08:00:00;2019-09-04 14:00:00;EBJ_start;MGU_to
72105;04-09-2019;2;2019-09-04 15:00:00;2019-09-04 21:00:00;EBJ_start;MGU_to
72148;04-09-2019;14;2019-09-04 08:00:00;2019-09-04 13:00:00;EBJ_start;MGU_to
81864;04-09-2019;16;2019-09-04 04:00:00;2019-09-04 09:00:00;EBJ_start;NSA_to
81877;04-09-2019;3;2019-09-04 15:00:00;2019-09-04 20:00:00;EBJ_start;NSA_to
97522;04-09-2019;10;2019-09-04 17:00:00;2019-09-04 21:00:00;GOC_from;CEA_to
98123;04-09-2019;8;2019-09-04 05:00:00;2019-09-04 09:00:00;GOC_from;CEA_to
101955;04-09-2019;29;2019-09-04 06:00:00;2019-09-04 11:00:00;GOC_from;EBJ_end
118993;04-09-2019;2;2019-09-04 17:00:00;2019-09-04 21:00:00;HAL_from;HBC_to
120330;04-09-2019;7;2019-09-04 13:00:00;2019-09-04 19:00:00;HAR_from;EBJ_end
124197;04-09-2019;6;2019-09-04 17:00:00;2019-09-04 22:00:00;HBC_from;EBJ_end
131984;04-09-2019;2;2019-09-04 17:00:00;2019-09-04 21:00:00;HBC_from;HAL_to
132045;04-09-2019;2;2019-09-04 06:00:00;2019-09-04 10:00:00;HBC_from;HAL_to
133673;04-09-2019;1;2019-09-04 17:00:00;2019-09-04 21:00:00;MGU_from;CEA_to
141051;04-09-2019;11;2019-09-04 10:00:00;2019-09-04 15:00:00;MGU_from;EBJ_end
142017;04-09-2019;13;2019-09-04 09:00:00;2019-09-04 14:00:00;MGU_from;EBJ_end
151929;04-09-2019;8;2019-09-04 10:00:00;2019-09-04 14:00:00;MGU_from;TYE_to
152017;04-09-2019;1;2019-09-04 09:00:00;2019-09-04 13:00:00;MGU_from;TYE_to
156198;04-09-2019;6;2019-09-04 16:00:00;2019-09-04 21:00:00;NSA_from;CEA_to
161689;04-09-2019;16;2019-09-04 05:00:00;2019-09-04 09:00:00;NSA_from;GOC_to
168947;04-09-2019;5;2019-09-04 10:00:00;2019-09-04 14:00:00;TYE_from;MGU_to
169862;04-09-2019;3;2019-09-04 17:00:00;2019-09-04 21:00:00;TYW_from;CEA_to
