;FDATE;DEMAND;BETWEEN_;AND_;DEST_FROM;DEST_TO
5189;06-09-2019;16;2019-09-06 06:00:00;2019-09-06 11:00:00;CEA_from;EBJ_end
5634;06-09-2019;7;2019-09-06 13:00:00;2019-09-06 18:00:00;CEA_from;EBJ_end
5698;06-09-2019;13;2019-09-06 09:00:00;2019-09-06 14:00:00;CEA_from;EBJ_end
17614;06-09-2019;8;2019-09-06 05:00:00;2019-09-06 10:00:00;CEA_from;GOC_to
18149;06-09-2019;4;2019-09-06 17:00:00;2019-09-06 21:00:00;CEA_from;GOC_to
23951;06-09-2019;4;2019-09-06 09:00:00;2019-09-06 13:00:00;CEA_from;TYW_to
44567;06-09-2019;11;2019-09-06 08:00:00;2019-09-06 13:00:00;EBJ_start;CEA_to
44576;06-09-2019;7;2019-09-06 11:00:00;2019-09-06 17:00:00;EBJ_start;CEA_to
52310;06-09-2019;2;2019-09-06 15:00:00;2019-09-06 20:00:00;EBJ_start;DAF_to
59437;06-09-2019;6;2019-09-06 15:00:00;2019-09-06 21:00:00;EBJ_start;GOC_to
65776;06-09-2019;11;2019-09-06 04:00:00;2019-09-06 09:00:00;EBJ_start;HBC_to
65971;06-09-2019;2;2019-09-06 15:00:00;2019-09-06 20:00:00;EBJ_start;HBC_to
72083;06-09-2019;13;2019-09-06 05:00:00;2019-09-06 10:00:00;EBJ_start;MGU_to
72524;06-09-2019;1;2019-09-06 11:00:00;2019-09-06 17:00:00;EBJ_start;MGU_to
81906;06-09-2019;1;2019-09-06 15:00:00;2019-09-06 21:00:00;EBJ_start;NSA_to
85814;06-09-2019;4;2019-09-06 15:00:00;2019-09-06 21:00:00;EBJ_start;SKJ_to
98125;06-09-2019;8;2019-09-06 06:00:00;2019-09-06 10:00:00;GOC_from;CEA_to
98232;06-09-2019;9;2019-09-06 17:00:00;2019-09-06 21:00:00;GOC_from;CEA_to
101912;06-09-2019;7;2019-09-06 17:00:00;2019-09-06 22:00:00;GOC_from;EBJ_end
118980;06-09-2019;2;2019-09-06 05:00:00;2019-09-06 09:00:00;HAL_from;HBC_to
118994;06-09-2019;3;2019-09-06 16:00:00;2019-09-06 21:00:00;HAL_from;HBC_to
122188;06-09-2019;2;2019-09-06 17:00:00;2019-09-06 21:00:00;HBC_from;CEA_to
122194;06-09-2019;14;2019-09-06 05:00:00;2019-09-06 09:00:00;HBC_from;CEA_to
131986;06-09-2019;2;2019-09-06 16:00:00;2019-09-06 20:00:00;HBC_from;HAL_to
132046;06-09-2019;3;2019-09-06 05:00:00;2019-09-06 09:00:00;HBC_from;HAL_to
141811;06-09-2019;4;2019-09-06 13:00:00;2019-09-06 18:00:00;MGU_from;EBJ_end
141857;06-09-2019;14;2019-09-06 06:00:00;2019-09-06 11:00:00;MGU_from;EBJ_end
151937;06-09-2019;1;2019-09-06 13:00:00;2019-09-06 17:00:00;MGU_from;TYE_to
152009;06-09-2019;1;2019-09-06 06:00:00;2019-09-06 10:00:00;MGU_from;TYE_to
158152;06-09-2019;1;2019-09-06 17:00:00;2019-09-06 22:00:00;NSA_from;EBJ_end
163357;06-09-2019;4;2019-09-06 17:00:00;2019-09-06 22:00:00;SKJ_from;EBJ_end
168830;06-09-2019;1;2019-09-06 13:00:00;2019-09-06 17:00:00;TYE_from;MGU_to
168906;06-09-2019;2;2019-09-06 06:00:00;2019-09-06 10:00:00;TYE_from;MGU_to
169886;06-09-2019;1;2019-09-06 09:00:00;2019-09-06 13:00:00;TYW_from;CEA_to
