;FDATE;DEMAND;BETWEEN_;AND_;DEST_FROM;DEST_TO
2843;10-03-2020;7;2020-03-10 06:00:00;2020-03-10 11:00:00;CEA_from;EBJ_end
28175;10-03-2020;12;2020-03-10 10:00:00;2020-03-10 15:00:00;DAF_from;EBJ_end
39494;10-03-2020;2;2020-03-10 10:00:00;2020-03-10 14:00:00;DAF_from;NSA_to
46282;10-03-2020;11;2020-03-10 05:00:00;2020-03-10 10:00:00;EBJ_start;CEA_to
53333;10-03-2020;9;2020-03-10 08:00:00;2020-03-10 14:00:00;EBJ_start;DAF_to
54023;10-03-2020;1;2020-03-10 15:00:00;2020-03-10 20:00:00;EBJ_start;DAF_to
60809;10-03-2020;5;2020-03-10 15:00:00;2020-03-10 20:00:00;EBJ_start;GOC_to
60837;10-03-2020;9;2020-03-10 16:00:00;2020-03-10 21:00:00;EBJ_start;GOC_to
60915;10-03-2020;9;2020-03-10 11:00:00;2020-03-10 17:00:00;EBJ_start;GOC_to
63343;10-03-2020;5;2020-03-10 15:00:00;2020-03-10 21:00:00;EBJ_start;HAL_to
63495;10-03-2020;2;2020-03-10 05:00:00;2020-03-10 10:00:00;EBJ_start;HAL_to
64731;10-03-2020;4;2020-03-10 15:00:00;2020-03-10 21:00:00;EBJ_start;HBC_to
69954;10-03-2020;7;2020-03-10 15:00:00;2020-03-10 21:00:00;EBJ_start;MGU_to
85628;10-03-2020;6;2020-03-10 11:00:00;2020-03-10 17:00:00;EBJ_start;SKJ_to
100617;10-03-2020;11;2020-03-10 13:00:00;2020-03-10 18:00:00;GOC_from;EBJ_end
100626;10-03-2020;7;2020-03-10 17:00:00;2020-03-10 22:00:00;GOC_from;EBJ_end
107438;10-03-2020;2;2020-03-10 16:00:00;2020-03-10 21:00:00;GOC_from;HAL_to
113138;10-03-2020;3;2020-03-10 17:00:00;2020-03-10 22:00:00;HAL_from;EBJ_end
119304;10-03-2020;2;2020-03-10 17:00:00;2020-03-10 21:00:00;HAL_from;HBC_to
123212;10-03-2020;7;2020-03-10 17:00:00;2020-03-10 22:00:00;HBC_from;EBJ_end
132382;10-03-2020;1;2020-03-10 17:00:00;2020-03-10 21:00:00;HBC_from;HAL_to
132410;10-03-2020;1;2020-03-10 06:00:00;2020-03-10 10:00:00;HBC_from;HAL_to
133753;10-03-2020;2;2020-03-10 06:00:00;2020-03-10 10:00:00;MGU_from;CEA_to
143971;10-03-2020;7;2020-03-10 17:00:00;2020-03-10 22:00:00;MGU_from;EBJ_end
157473;10-03-2020;2;2020-03-10 10:00:00;2020-03-10 14:00:00;NSA_from;DAF_to
163140;10-03-2020;5;2020-03-10 13:00:00;2020-03-10 18:00:00;SKJ_from;EBJ_end
