;FDATE;DEMAND;BETWEEN_;AND_;DEST_FROM;DEST_TO
7206;01-02-2019;14;2019-02-01 06:00:00;2019-02-01 11:00:00;CEA_from;EBJ_end
13511;01-02-2019;5;2019-02-01 17:00:00;2019-02-01 21:00:00;CEA_from;GOC_to
14154;01-02-2019;1;2019-02-01 06:00:00;2019-02-01 10:00:00;CEA_from;GOC_to
22279;01-02-2019;1;2019-02-01 06:00:00;2019-02-01 10:00:00;CEA_from;MGU_to
36103;01-02-2019;6;2019-02-01 05:00:00;2019-02-01 09:00:00;DAF_from;HBC_to
37394;01-02-2019;8;2019-02-01 17:00:00;2019-02-01 22:00:00;DAF_from;MGU_to
42525;01-02-2019;8;2019-02-01 15:00:00;2019-02-01 21:00:00;EBJ_start;CEA_to
42648;01-02-2019;10;2019-02-01 05:00:00;2019-02-01 10:00:00;EBJ_start;CEA_to
49812;01-02-2019;6;2019-02-01 04:00:00;2019-02-01 09:00:00;EBJ_start;DAF_to
50088;01-02-2019;4;2019-02-01 15:00:00;2019-02-01 20:00:00;EBJ_start;DAF_to
64022;01-02-2019;3;2019-02-01 08:00:00;2019-02-01 14:00:00;EBJ_start;HAR_to
74104;01-02-2019;2;2019-02-01 15:00:00;2019-02-01 21:00:00;EBJ_start;MGU_to
74454;01-02-2019;19;2019-02-01 08:00:00;2019-02-01 13:00:00;EBJ_start;MGU_to
75046;01-02-2019;5;2019-02-01 04:00:00;2019-02-01 10:00:00;EBJ_start;MGU_to
88807;01-02-2019;4;2019-02-01 08:00:00;2019-02-01 13:00:00;EBJ_start;TYW_to
93451;01-02-2019;6;2019-02-01 17:00:00;2019-02-01 22:00:00;GOC_from;CEA_to
103692;01-02-2019;4;2019-02-01 06:00:00;2019-02-01 12:00:00;GOC_from;EBJ_end
118561;01-02-2019;1;2019-02-01 06:00:00;2019-02-01 10:00:00;HAL_from;HBC_to
118565;01-02-2019;2;2019-02-01 16:00:00;2019-02-01 21:00:00;HAL_from;HBC_to
120682;01-02-2019;3;2019-02-01 10:00:00;2019-02-01 15:00:00;HAR_from;EBJ_end
125374;01-02-2019;8;2019-02-01 06:00:00;2019-02-01 12:00:00;HBC_from;EBJ_end
131648;01-02-2019;2;2019-02-01 05:00:00;2019-02-01 09:00:00;HBC_from;HAL_to
134904;01-02-2019;7;2019-02-01 17:00:00;2019-02-01 21:00:00;MGU_from;DAF_to
139520;01-02-2019;12;2019-02-01 09:00:00;2019-02-01 15:00:00;MGU_from;EBJ_end
139559;01-02-2019;2;2019-02-01 06:00:00;2019-02-01 12:00:00;MGU_from;EBJ_end
150705;01-02-2019;1;2019-02-01 06:00:00;2019-02-01 10:00:00;MGU_from;TYE_to
150892;01-02-2019;1;2019-02-01 09:00:00;2019-02-01 13:00:00;MGU_from;TYE_to
152506;01-02-2019;1;2019-02-01 09:00:00;2019-02-01 13:00:00;MGU_from;TYW_to
156843;01-02-2019;1;2019-02-01 05:00:00;2019-02-01 09:00:00;NSA_from;DAF_to
156865;01-02-2019;1;2019-02-01 16:00:00;2019-02-01 20:00:00;NSA_from;DAF_to
167746;01-02-2019;1;2019-02-01 06:00:00;2019-02-01 10:00:00;TYE_from;MGU_to
167930;01-02-2019;3;2019-02-01 09:00:00;2019-02-01 13:00:00;TYE_from;MGU_to
170410;01-02-2019;1;2019-02-01 06:00:00;2019-02-01 10:00:00;TYW_from;CEA_to
172514;01-02-2019;6;2019-02-01 09:00:00;2019-02-01 15:00:00;TYW_from;EBJ_end
