;FDATE;DEMAND;BETWEEN_;AND_;DEST_FROM;DEST_TO
3553;05-02-2020;2;2020-02-05 17:00:00;2020-02-05 22:00:00;CEA_from;EBJ_end
28446;05-02-2020;10;2020-02-05 16:00:00;2020-02-05 22:00:00;DAF_from;EBJ_end
28534;05-02-2020;16;2020-02-05 07:00:00;2020-02-05 12:00:00;DAF_from;EBJ_end
28612;05-02-2020;16;2020-02-05 13:00:00;2020-02-05 18:00:00;DAF_from;EBJ_end
39336;05-02-2020;16;2020-02-05 06:00:00;2020-02-05 10:00:00;DAF_from;NSA_to
39340;05-02-2020;3;2020-02-05 16:00:00;2020-02-05 20:00:00;DAF_from;NSA_to
39511;05-02-2020;1;2020-02-05 13:00:00;2020-02-05 17:00:00;DAF_from;NSA_to
53171;05-02-2020;16;2020-02-05 11:00:00;2020-02-05 17:00:00;EBJ_start;DAF_to
53175;05-02-2020;13;2020-02-05 15:00:00;2020-02-05 20:00:00;EBJ_start;DAF_to
53661;05-02-2020;16;2020-02-05 05:00:00;2020-02-05 10:00:00;EBJ_start;DAF_to
60684;05-02-2020;8;2020-02-05 04:00:00;2020-02-05 10:00:00;EBJ_start;GOC_to
63355;05-02-2020;2;2020-02-05 15:00:00;2020-02-05 21:00:00;EBJ_start;HAL_to
63553;05-02-2020;10;2020-02-05 12:00:00;2020-02-05 18:00:00;EBJ_start;HAR_to
64725;05-02-2020;15;2020-02-05 16:00:00;2020-02-05 21:00:00;EBJ_start;HBC_to
69990;05-02-2020;3;2020-02-05 12:00:00;2020-02-05 17:00:00;EBJ_start;MGU_to
69993;05-02-2020;14;2020-02-05 08:00:00;2020-02-05 13:00:00;EBJ_start;MGU_to
70002;05-02-2020;6;2020-02-05 04:00:00;2020-02-05 10:00:00;EBJ_start;MGU_to
101021;05-02-2020;6;2020-02-05 06:00:00;2020-02-05 11:00:00;GOC_from;EBJ_end
113029;05-02-2020;3;2020-02-05 17:00:00;2020-02-05 22:00:00;HAL_from;EBJ_end
120110;05-02-2020;9;2020-02-05 14:00:00;2020-02-05 19:00:00;HAR_from;EBJ_end
123220;05-02-2020;10;2020-02-05 17:00:00;2020-02-05 22:00:00;HBC_from;EBJ_end
133794;05-02-2020;1;2020-02-05 17:00:00;2020-02-05 21:00:00;MGU_from;CEA_to
143601;05-02-2020;11;2020-02-05 09:00:00;2020-02-05 14:00:00;MGU_from;EBJ_end
143861;05-02-2020;5;2020-02-05 06:00:00;2020-02-05 11:00:00;MGU_from;EBJ_end
157045;05-02-2020;5;2020-02-05 16:00:00;2020-02-05 20:00:00;NSA_from;DAF_to
157132;05-02-2020;16;2020-02-05 07:00:00;2020-02-05 11:00:00;NSA_from;DAF_to
