;FDATE;DEMAND;BETWEEN_;AND_;DEST_FROM;DEST_TO
6514;03-05-2019;14;2019-05-03 06:00:00;2019-05-03 10:00:00;CEA_from;EBJ_end
6542;03-05-2019;11;2019-05-03 09:00:00;2019-05-03 14:00:00;CEA_from;EBJ_end
6570;03-05-2019;9;2019-05-03 10:00:00;2019-05-03 15:00:00;CEA_from;EBJ_end
14187;03-05-2019;13;2019-05-03 05:00:00;2019-05-03 09:00:00;CEA_from;GOC_to
14999;03-05-2019;9;2019-05-03 17:00:00;2019-05-03 21:00:00;CEA_from;GOC_to
20398;03-05-2019;3;2019-05-03 05:00:00;2019-05-03 09:00:00;CEA_from;HAL_to
27829;03-05-2019;2;2019-05-03 10:00:00;2019-05-03 14:00:00;DAF_from;CEA_to
43210;03-05-2019;6;2019-05-03 15:00:00;2019-05-03 21:00:00;EBJ_start;CEA_to
43263;03-05-2019;8;2019-05-03 08:00:00;2019-05-03 13:00:00;EBJ_start;CEA_to
43277;03-05-2019;13;2019-05-03 04:00:00;2019-05-03 09:00:00;EBJ_start;CEA_to
43336;03-05-2019;1;2019-05-03 08:00:00;2019-05-03 14:00:00;EBJ_start;CEA_to
51386;03-05-2019;1;2019-05-03 08:00:00;2019-05-03 13:00:00;EBJ_start;DAF_to
58310;03-05-2019;10;2019-05-03 15:00:00;2019-05-03 21:00:00;EBJ_start;GOC_to
73352;03-05-2019;12;2019-05-03 04:00:00;2019-05-03 10:00:00;EBJ_start;MGU_to
73533;03-05-2019;4;2019-05-03 08:00:00;2019-05-03 14:00:00;EBJ_start;MGU_to
82614;03-05-2019;1;2019-05-03 15:00:00;2019-05-03 21:00:00;EBJ_start;NSA_to
85947;03-05-2019;2;2019-05-03 15:00:00;2019-05-03 21:00:00;EBJ_start;SKJ_to
88508;03-05-2019;5;2019-05-03 08:00:00;2019-05-03 13:00:00;EBJ_start;TYW_to
94960;03-05-2019;13;2019-05-03 05:00:00;2019-05-03 09:00:00;GOC_from;CEA_to
95325;03-05-2019;11;2019-05-03 17:00:00;2019-05-03 21:00:00;GOC_from;CEA_to
103024;03-05-2019;7;2019-05-03 17:00:00;2019-05-03 22:00:00;GOC_from;EBJ_end
103510;03-05-2019;2;2019-05-03 05:00:00;2019-05-03 10:00:00;GOC_from;EBJ_end
112276;03-05-2019;3;2019-05-03 16:00:00;2019-05-03 21:00:00;HAL_from;CEA_to
122472;03-05-2019;1;2019-05-03 16:00:00;2019-05-03 21:00:00;HBC_from;DAF_to
133514;03-05-2019;2;2019-05-03 17:00:00;2019-05-03 21:00:00;MGU_from;CEA_to
133518;03-05-2019;1;2019-05-03 05:00:00;2019-05-03 09:00:00;MGU_from;CEA_to
140611;03-05-2019;14;2019-05-03 06:00:00;2019-05-03 11:00:00;MGU_from;EBJ_end
141042;03-05-2019;2;2019-05-03 10:00:00;2019-05-03 15:00:00;MGU_from;EBJ_end
151537;03-05-2019;1;2019-05-03 10:00:00;2019-05-03 14:00:00;MGU_from;TYE_to
158612;03-05-2019;4;2019-05-03 17:00:00;2019-05-03 22:00:00;NSA_from;EBJ_end
163525;03-05-2019;4;2019-05-03 17:00:00;2019-05-03 22:00:00;SKJ_from;EBJ_end
168445;03-05-2019;1;2019-05-03 06:00:00;2019-05-03 10:00:00;TYE_from;MGU_to
172839;03-05-2019;5;2019-05-03 09:00:00;2019-05-03 14:00:00;TYW_from;EBJ_end
