;FDATE;DEMAND;BETWEEN_;AND_;DEST_FROM;DEST_TO
7742;08-11-2018;9;2018-11-08 07:00:00;2018-11-08 12:00:00;CEA_from;EBJ_end
10704;08-11-2018;14;2018-11-08 07:00:00;2018-11-08 11:00:00;CEA_from;GOC_to
10984;08-11-2018;13;2018-11-08 17:00:00;2018-11-08 21:00:00;CEA_from;GOC_to
26908;08-11-2018;5;2018-11-08 06:00:00;2018-11-08 11:00:00;DAF_from;CEA_to
32324;08-11-2018;4;2018-11-08 16:00:00;2018-11-08 22:00:00;DAF_from;EBJ_end
36694;08-11-2018;4;2018-11-08 06:00:00;2018-11-08 10:00:00;DAF_from;MGU_to
36708;08-11-2018;7;2018-11-08 18:00:00;2018-11-08 22:00:00;DAF_from;MGU_to
39123;08-11-2018;1;2018-11-08 06:00:00;2018-11-08 10:00:00;DAF_from;NSA_to
49435;08-11-2018;7;2018-11-08 15:00:00;2018-11-08 20:00:00;EBJ_start;DAF_to
56710;08-11-2018;10;2018-11-08 08:00:00;2018-11-08 13:00:00;EBJ_start;GOC_to
62029;08-11-2018;3;2018-11-08 12:00:00;2018-11-08 17:00:00;EBJ_start;HAL_to
67323;08-11-2018;9;2018-11-08 12:00:00;2018-11-08 17:00:00;EBJ_start;HBC_to
67411;08-11-2018;13;2018-11-08 05:00:00;2018-11-08 10:00:00;EBJ_start;HBC_to
74908;08-11-2018;6;2018-11-08 15:00:00;2018-11-08 21:00:00;EBJ_start;MGU_to
83871;08-11-2018;15;2018-11-08 05:00:00;2018-11-08 10:00:00;EBJ_start;NSA_to
90921;08-11-2018;13;2018-11-08 07:00:00;2018-11-08 11:00:00;GOC_from;CEA_to
104452;08-11-2018;11;2018-11-08 09:00:00;2018-11-08 14:00:00;GOC_from;EBJ_end
104571;08-11-2018;2;2018-11-08 07:00:00;2018-11-08 12:00:00;GOC_from;EBJ_end
107492;08-11-2018;15;2018-11-08 16:00:00;2018-11-08 20:00:00;GOC_from;HBC_to
114237;08-11-2018;6;2018-11-08 13:00:00;2018-11-08 18:00:00;HAL_from;EBJ_end
117269;08-11-2018;6;2018-11-08 16:00:00;2018-11-08 21:00:00;HAL_from;HBC_to
117809;08-11-2018;1;2018-11-08 06:00:00;2018-11-08 10:00:00;HAL_from;HBC_to
121716;08-11-2018;14;2018-11-08 17:00:00;2018-11-08 21:00:00;HBC_from;CEA_to
126203;08-11-2018;8;2018-11-08 13:00:00;2018-11-08 18:00:00;HBC_from;EBJ_end
130296;08-11-2018;8;2018-11-08 06:00:00;2018-11-08 10:00:00;HBC_from;HAL_to
130856;08-11-2018;1;2018-11-08 16:00:00;2018-11-08 20:00:00;HBC_from;HAL_to
132973;08-11-2018;13;2018-11-08 06:00:00;2018-11-08 10:00:00;HBC_from;NSA_to
133249;08-11-2018;4;2018-11-08 07:00:00;2018-11-08 11:00:00;MGU_from;CEA_to
134141;08-11-2018;9;2018-11-08 06:00:00;2018-11-08 10:00:00;MGU_from;DAF_to
134165;08-11-2018;4;2018-11-08 18:00:00;2018-11-08 22:00:00;MGU_from;DAF_to
139282;08-11-2018;2;2018-11-08 17:00:00;2018-11-08 22:00:00;MGU_from;EBJ_end
148413;08-11-2018;3;2018-11-08 06:00:00;2018-11-08 10:00:00;MGU_from;HBC_to
159861;08-11-2018;27;2018-11-08 06:00:00;2018-11-08 11:00:00;NSA_from;EBJ_end
