;FDATE;DEMAND;BETWEEN_;AND_;DEST_FROM;DEST_TO
7494;04-02-2019;2;2019-02-04 06:00:00;2019-02-04 11:00:00;CEA_from;EBJ_end
7678;04-02-2019;8;2019-02-04 19:00:00;2019-02-05 00:00:00;CEA_from;EBJ_end
13514;04-02-2019;8;2019-02-04 19:00:00;2019-02-04 23:00:00;CEA_from;GOC_to
22208;04-02-2019;12;2019-02-04 05:00:00;2019-02-04 09:00:00;CEA_from;MGU_to
31338;04-02-2019;4;2019-02-04 05:00:00;2019-02-04 11:00:00;DAF_from;EBJ_end
31841;04-02-2019;16;2019-02-04 14:00:00;2019-02-04 19:00:00;DAF_from;EBJ_end
37459;04-02-2019;9;2019-02-04 05:00:00;2019-02-04 09:00:00;DAF_from;MGU_to
42711;04-02-2019;2;2019-02-04 17:00:00;2019-02-04 23:00:00;EBJ_start;CEA_to
49890;04-02-2019;15;2019-02-04 13:00:00;2019-02-04 18:00:00;EBJ_start;DAF_to
62258;04-02-2019;7;2019-02-04 17:00:00;2019-02-04 23:00:00;EBJ_start;HAL_to
67234;04-02-2019;8;2019-02-04 17:00:00;2019-02-04 22:00:00;EBJ_start;HBC_to
74364;04-02-2019;14;2019-02-04 13:00:00;2019-02-04 18:00:00;EBJ_start;MGU_to
88698;04-02-2019;12;2019-02-04 17:00:00;2019-02-04 22:00:00;EBJ_start;TYW_to
93454;04-02-2019;12;2019-02-04 19:00:00;2019-02-04 23:00:00;GOC_from;CEA_to
93464;04-02-2019;8;2019-02-04 06:00:00;2019-02-04 10:00:00;GOC_from;CEA_to
113946;04-02-2019;4;2019-02-04 06:00:00;2019-02-04 11:00:00;HAL_from;EBJ_end
114102;04-02-2019;7;2019-02-04 19:00:00;2019-02-05 00:00:00;HAL_from;EBJ_end
118617;04-02-2019;1;2019-02-04 19:00:00;2019-02-04 23:00:00;HAL_from;HBC_to
118833;04-02-2019;3;2019-02-04 06:00:00;2019-02-04 10:00:00;HAL_from;HBC_to
125325;04-02-2019;6;2019-02-04 06:00:00;2019-02-04 11:00:00;HBC_from;EBJ_end
125531;04-02-2019;8;2019-02-04 19:00:00;2019-02-05 00:00:00;HBC_from;EBJ_end
131848;04-02-2019;3;2019-02-04 19:00:00;2019-02-04 23:00:00;HBC_from;HAL_to
134872;04-02-2019;7;2019-02-04 05:00:00;2019-02-04 09:00:00;MGU_from;DAF_to
139526;04-02-2019;14;2019-02-04 15:00:00;2019-02-04 19:00:00;MGU_from;EBJ_end
144795;04-02-2019;12;2019-02-04 05:00:00;2019-02-04 10:00:00;MGU_from;GOC_to
150893;04-02-2019;10;2019-02-04 14:00:00;2019-02-04 18:00:00;MGU_from;TYE_to
167769;04-02-2019;9;2019-02-04 15:00:00;2019-02-04 19:00:00;TYE_from;MGU_to
170397;04-02-2019;8;2019-02-04 19:00:00;2019-02-04 23:00:00;TYW_from;CEA_to
