;FDATE;DEMAND;BETWEEN_;AND_;DEST_FROM;DEST_TO
2594;06-08-2019;2;2019-08-06 18:00:00;2019-08-06 22:00:00;CEA_from;DAF_to
5562;06-08-2019;14;2019-08-06 09:00:00;2019-08-06 14:00:00;CEA_from;EBJ_end
5656;06-08-2019;5;2019-08-06 18:00:00;2019-08-06 23:00:00;CEA_from;EBJ_end
17260;06-08-2019;13;2019-08-06 17:00:00;2019-08-06 21:00:00;CEA_from;GOC_to
17560;06-08-2019;15;2019-08-06 05:00:00;2019-08-06 09:00:00;CEA_from;GOC_to
20605;06-08-2019;10;2019-08-06 05:00:00;2019-08-06 10:00:00;CEA_from;HAL_to
21925;06-08-2019;2;2019-08-06 18:00:00;2019-08-06 22:00:00;CEA_from;HBC_to
22803;06-08-2019;14;2019-08-06 06:00:00;2019-08-06 10:00:00;CEA_from;MIN_to
23062;06-08-2019;1;2019-08-06 18:00:00;2019-08-06 22:00:00;CEA_from;NSA_to
23928;06-08-2019;13;2019-08-06 09:00:00;2019-08-06 13:00:00;CEA_from;TYW_to
30023;06-08-2019;10;2019-08-06 10:00:00;2019-08-06 15:00:00;DAF_from;EBJ_end
30419;06-08-2019;1;2019-08-06 18:00:00;2019-08-06 23:00:00;DAF_from;EBJ_end
42840;06-08-2019;12;2019-08-06 15:00:00;2019-08-06 20:00:00;EBJ_start;CEA_to
44108;06-08-2019;14;2019-08-06 04:00:00;2019-08-06 09:00:00;EBJ_start;CEA_to
44234;06-08-2019;14;2019-08-06 08:00:00;2019-08-06 13:00:00;EBJ_start;CEA_to
51675;06-08-2019;16;2019-08-06 08:00:00;2019-08-06 13:00:00;EBJ_start;DAF_to
58961;06-08-2019;10;2019-08-06 12:00:00;2019-08-06 17:00:00;EBJ_start;GOC_to
59341;06-08-2019;1;2019-08-06 15:00:00;2019-08-06 21:00:00;EBJ_start;GOC_to
72230;06-08-2019;12;2019-08-06 04:00:00;2019-08-06 10:00:00;EBJ_start;MGU_to
85854;06-08-2019;3;2019-08-06 12:00:00;2019-08-06 17:00:00;EBJ_start;SKJ_to
96843;06-08-2019;15;2019-08-06 17:00:00;2019-08-06 21:00:00;GOC_from;CEA_to
97219;06-08-2019;13;2019-08-06 05:00:00;2019-08-06 09:00:00;GOC_from;CEA_to
102331;06-08-2019;11;2019-08-06 13:00:00;2019-08-06 18:00:00;GOC_from;EBJ_end
111943;06-08-2019;10;2019-08-06 17:00:00;2019-08-06 21:00:00;HAL_from;CEA_to
119534;06-08-2019;1;2019-08-06 06:00:00;2019-08-06 10:00:00;HAL_from;MIN_to
124452;06-08-2019;5;2019-08-06 18:00:00;2019-08-06 23:00:00;HBC_from;EBJ_end
133572;06-08-2019;1;2019-08-06 16:00:00;2019-08-06 20:00:00;MGU_from;CEA_to
141636;06-08-2019;13;2019-08-06 06:00:00;2019-08-06 11:00:00;MGU_from;EBJ_end
151790;06-08-2019;8;2019-08-06 06:00:00;2019-08-06 10:00:00;MGU_from;TYE_to
152669;06-08-2019;15;2019-08-06 06:00:00;2019-08-06 11:00:00;MIN_from;EBJ_end
158196;06-08-2019;5;2019-08-06 18:00:00;2019-08-06 23:00:00;NSA_from;EBJ_end
163378;06-08-2019;5;2019-08-06 13:00:00;2019-08-06 18:00:00;SKJ_from;EBJ_end
164276;06-08-2019;1;2019-08-06 13:00:00;2019-08-06 17:00:00;SKJ_from;GOC_to
168707;06-08-2019;8;2019-08-06 06:00:00;2019-08-06 10:00:00;TYE_from;MGU_to
169921;06-08-2019;12;2019-08-06 09:00:00;2019-08-06 13:00:00;TYW_from;CEA_to
