;FDATE;DEMAND;BETWEEN_;AND_;DEST_FROM;DEST_TO
6507;09-05-2019;2;2019-05-09 19:00:00;2019-05-09 23:59:00;CEA_from;EBJ_end
14928;09-05-2019;16;2019-05-09 05:00:00;2019-05-09 09:00:00;CEA_from;GOC_to
15005;09-05-2019;15;2019-05-09 17:00:00;2019-05-09 22:00:00;CEA_from;GOC_to
20424;09-05-2019;3;2019-05-09 18:00:00;2019-05-09 22:00:00;CEA_from;HAL_to
20441;09-05-2019;6;2019-05-09 06:00:00;2019-05-09 10:00:00;CEA_from;HAL_to
22129;09-05-2019;8;2019-05-09 19:00:00;2019-05-09 23:00:00;CEA_from;MGU_to
24265;09-05-2019;1;2019-05-09 16:00:00;2019-05-09 20:00:00;CEA_from;TYW_to
30771;09-05-2019;8;2019-05-09 10:00:00;2019-05-09 15:00:00;DAF_from;EBJ_end
42746;09-05-2019;11;2019-05-09 15:00:00;2019-05-09 20:00:00;EBJ_start;CEA_to
42841;09-05-2019;3;2019-05-09 15:00:00;2019-05-09 21:00:00;EBJ_start;CEA_to
51030;09-05-2019;10;2019-05-09 08:00:00;2019-05-09 13:00:00;EBJ_start;DAF_to
51474;09-05-2019;1;2019-05-09 13:00:00;2019-05-09 18:00:00;EBJ_start;DAF_to
58248;09-05-2019;13;2019-05-09 08:00:00;2019-05-09 13:00:00;EBJ_start;GOC_to
62564;09-05-2019;4;2019-05-09 17:00:00;2019-05-09 22:00:00;EBJ_start;HAL_to
66457;09-05-2019;10;2019-05-09 17:00:00;2019-05-09 22:00:00;EBJ_start;HBC_to
78316;09-05-2019;11;2019-05-09 04:00:00;2019-05-09 09:00:00;EBJ_start;MIN_to
78332;09-05-2019;13;2019-05-09 13:00:00;2019-05-09 18:00:00;EBJ_start;MIN_to
82500;09-05-2019;5;2019-05-09 08:00:00;2019-05-09 14:00:00;EBJ_start;NSA_to
82590;09-05-2019;15;2019-05-09 04:00:00;2019-05-09 09:00:00;EBJ_start;NSA_to
94868;09-05-2019;14;2019-05-09 18:00:00;2019-05-09 22:00:00;GOC_from;CEA_to
94966;09-05-2019;15;2019-05-09 05:00:00;2019-05-09 10:00:00;GOC_from;CEA_to
102890;09-05-2019;15;2019-05-09 09:00:00;2019-05-09 14:00:00;GOC_from;EBJ_end
112144;09-05-2019;5;2019-05-09 18:00:00;2019-05-09 23:00:00;HAL_from;CEA_to
113816;09-05-2019;1;2019-05-09 18:00:00;2019-05-09 23:59:00;HAL_from;EBJ_end
113836;09-05-2019;6;2019-05-09 18:00:00;2019-05-09 23:00:00;HAL_from;EBJ_end
118925;09-05-2019;1;2019-05-09 18:00:00;2019-05-09 22:00:00;HAL_from;HBC_to
124969;09-05-2019;10;2019-05-09 18:00:00;2019-05-09 23:00:00;HBC_from;EBJ_end
131956;09-05-2019;1;2019-05-09 18:00:00;2019-05-09 22:00:00;HBC_from;HAL_to
139980;09-05-2019;13;2019-05-09 19:00:00;2019-05-09 23:59:00;MGU_from;EBJ_end
151548;09-05-2019;1;2019-05-09 19:00:00;2019-05-09 23:00:00;MGU_from;TYE_to
152580;09-05-2019;1;2019-05-09 16:00:00;2019-05-09 20:00:00;MIN_from;CEA_to
152640;09-05-2019;15;2019-05-09 14:00:00;2019-05-09 19:00:00;MIN_from;EBJ_end
152698;09-05-2019;9;2019-05-09 06:00:00;2019-05-09 11:00:00;MIN_from;EBJ_end
158616;09-05-2019;15;2019-05-09 06:00:00;2019-05-09 11:00:00;NSA_from;EBJ_end
168611;09-05-2019;5;2019-05-09 19:00:00;2019-05-09 23:00:00;TYE_from;MGU_to
