;FDATE;DEMAND;BETWEEN_;AND_;DEST_FROM;DEST_TO
6404;10-05-2019;10;2019-05-10 06:00:00;2019-05-10 11:00:00;CEA_from;EBJ_end
6536;10-05-2019;16;2019-05-10 09:00:00;2019-05-10 14:00:00;CEA_from;EBJ_end
6759;10-05-2019;5;2019-05-10 17:00:00;2019-05-10 22:00:00;CEA_from;EBJ_end
14929;10-05-2019;13;2019-05-10 05:00:00;2019-05-10 10:00:00;CEA_from;GOC_to
15006;10-05-2019;8;2019-05-10 17:00:00;2019-05-10 21:00:00;CEA_from;GOC_to
20442;10-05-2019;5;2019-05-10 05:00:00;2019-05-10 09:00:00;CEA_from;HAL_to
21830;10-05-2019;1;2019-05-10 05:00:00;2019-05-10 09:00:00;CEA_from;HBC_to
24363;10-05-2019;2;2019-05-10 09:00:00;2019-05-10 13:00:00;CEA_from;TYW_to
43245;10-05-2019;11;2019-05-10 08:00:00;2019-05-10 13:00:00;EBJ_start;CEA_to
43254;10-05-2019;3;2019-05-10 15:00:00;2019-05-10 20:00:00;EBJ_start;CEA_to
43255;10-05-2019;7;2019-05-10 15:00:00;2019-05-10 21:00:00;EBJ_start;CEA_to
43283;10-05-2019;9;2019-05-10 04:00:00;2019-05-10 09:00:00;EBJ_start;CEA_to
58425;10-05-2019;10;2019-05-10 15:00:00;2019-05-10 21:00:00;EBJ_start;GOC_to
73175;10-05-2019;5;2019-05-10 15:00:00;2019-05-10 20:00:00;EBJ_start;MGU_to
73624;10-05-2019;13;2019-05-10 04:00:00;2019-05-10 09:00:00;EBJ_start;MGU_to
85948;10-05-2019;2;2019-05-10 15:00:00;2019-05-10 20:00:00;EBJ_start;SKJ_to
94869;10-05-2019;11;2019-05-10 17:00:00;2019-05-10 21:00:00;GOC_from;CEA_to
94967;10-05-2019;11;2019-05-10 06:00:00;2019-05-10 10:00:00;GOC_from;CEA_to
103036;10-05-2019;5;2019-05-10 06:00:00;2019-05-10 11:00:00;GOC_from;EBJ_end
103066;10-05-2019;5;2019-05-10 17:00:00;2019-05-10 22:00:00;GOC_from;EBJ_end
112142;10-05-2019;5;2019-05-10 17:00:00;2019-05-10 22:00:00;HAL_from;CEA_to
118801;10-05-2019;1;2019-05-10 05:00:00;2019-05-10 09:00:00;HAL_from;HBC_to
139979;10-05-2019;5;2019-05-10 17:00:00;2019-05-10 22:00:00;MGU_from;EBJ_end
140668;10-05-2019;16;2019-05-10 06:00:00;2019-05-10 11:00:00;MGU_from;EBJ_end
151385;10-05-2019;3;2019-05-10 16:00:00;2019-05-10 20:00:00;MGU_from;TYE_to
151416;10-05-2019;1;2019-05-10 05:00:00;2019-05-10 09:00:00;MGU_from;TYE_to
152581;10-05-2019;1;2019-05-10 17:00:00;2019-05-10 22:00:00;MIN_from;CEA_to
163455;10-05-2019;1;2019-05-10 17:00:00;2019-05-10 22:00:00;SKJ_from;EBJ_end
164199;10-05-2019;1;2019-05-10 17:00:00;2019-05-10 21:00:00;SKJ_from;GOC_to
168370;10-05-2019;3;2019-05-10 06:00:00;2019-05-10 10:00:00;TYE_from;MGU_to
170172;10-05-2019;2;2019-05-10 09:00:00;2019-05-10 13:00:00;TYW_from;CEA_to
170210;10-05-2019;1;2019-05-10 06:00:00;2019-05-10 10:00:00;TYW_from;CEA_to
