;FDATE;DEMAND;BETWEEN_;AND_;DEST_FROM;DEST_TO
2526;09-02-2019;1;2019-02-09 08:00:00;2019-02-09 13:00:00;CEA_from;DAF_to
7357;09-02-2019;6;2019-02-09 07:00:00;2019-02-09 13:00:00;CEA_from;EBJ_end
13576;09-02-2019;11;2019-02-09 08:00:00;2019-02-09 12:00:00;CEA_from;GOC_to
13626;09-02-2019;13;2019-02-09 18:00:00;2019-02-09 22:00:00;CEA_from;GOC_to
23460;09-02-2019;2;2019-02-09 08:00:00;2019-02-09 12:00:00;CEA_from;RLF_to
36237;09-02-2019;1;2019-02-09 09:00:00;2019-02-09 13:00:00;DAF_from;HBC_to
37559;09-02-2019;3;2019-02-09 19:00:00;2019-02-09 23:00:00;DAF_from;MGU_to
42507;09-02-2019;5;2019-02-09 05:00:00;2019-02-09 11:00:00;EBJ_start;CEA_to
57657;09-02-2019;4;2019-02-09 05:00:00;2019-02-09 11:00:00;EBJ_start;GOC_to
62527;09-02-2019;1;2019-02-09 05:00:00;2019-02-09 11:00:00;EBJ_start;HAL_to
83194;09-02-2019;6;2019-02-09 15:00:00;2019-02-09 20:00:00;EBJ_start;NSA_to
86065;09-02-2019;5;2019-02-09 05:00:00;2019-02-09 12:00:00;EBJ_start;SKJ_to
88760;09-02-2019;1;2019-02-09 15:00:00;2019-02-09 21:00:00;EBJ_start;TYW_to
93523;09-02-2019;11;2019-02-09 18:00:00;2019-02-09 22:00:00;GOC_from;CEA_to
93535;09-02-2019;9;2019-02-09 08:00:00;2019-02-09 12:00:00;GOC_from;CEA_to
103835;09-02-2019;3;2019-02-09 07:00:00;2019-02-09 13:00:00;GOC_from;EBJ_end
111389;09-02-2019;6;2019-02-09 08:00:00;2019-02-09 12:00:00;GOC_from;RLF_to
114165;09-02-2019;1;2019-02-09 07:00:00;2019-02-09 13:00:00;HAL_from;EBJ_end
118553;09-02-2019;4;2019-02-09 19:00:00;2019-02-09 23:00:00;HAL_from;HBC_to
118830;09-02-2019;3;2019-02-09 09:00:00;2019-02-09 13:00:00;HAL_from;HBC_to
122166;09-02-2019;1;2019-02-09 19:00:00;2019-02-09 23:00:00;HBC_from;CEA_to
125751;09-02-2019;1;2019-02-09 17:00:00;2019-02-09 23:00:00;HBC_from;EBJ_end
131543;09-02-2019;4;2019-02-09 09:00:00;2019-02-09 13:00:00;HBC_from;HAL_to
131845;09-02-2019;3;2019-02-09 18:00:00;2019-02-09 23:00:00;HBC_from;HAL_to
132456;09-02-2019;1;2019-02-09 19:00:00;2019-02-09 23:00:00;HBC_from;MGU_to
134943;09-02-2019;3;2019-02-09 09:00:00;2019-02-09 13:00:00;MGU_from;DAF_to
159089;09-02-2019;3;2019-02-09 16:00:00;2019-02-09 23:00:00;NSA_from;EBJ_end
162117;09-02-2019;2;2019-02-09 17:00:00;2019-02-09 22:00:00;RLF_from;CEA_to
162628;09-02-2019;6;2019-02-09 17:00:00;2019-02-09 22:00:00;RLF_from;GOC_to
163548;09-02-2019;5;2019-02-09 08:00:00;2019-02-09 13:00:00;SKJ_from;EBJ_end
164301;09-02-2019;1;2019-02-09 18:00:00;2019-02-09 22:00:00;SKJ_from;HBC_to
170378;09-02-2019;1;2019-02-09 17:00:00;2019-02-09 21:00:00;TYW_from;CEA_to
