;FDATE;DEMAND;BETWEEN_;AND_;DEST_FROM;DEST_TO
121;04-01-2018;7;2018-01-04 17:00:00;2018-01-04 21:00:00;CEA_from;DAF_to
127;04-01-2018;13;2018-01-04 05:00:00;2018-01-04 09:00:00;CEA_from;DAF_to
10633;04-01-2018;1;2018-01-04 06:00:00;2018-01-04 11:00:00;CEA_from;EBJ_end
25123;04-01-2018;1;2018-01-04 16:00:00;2018-01-04 20:00:00;CEA_from;TYW_to
25306;04-01-2018;9;2018-01-04 16:00:00;2018-01-04 20:00:00;DAF_from;CEA_to
35612;04-01-2018;1;2018-01-04 05:00:00;2018-01-04 09:00:00;DAF_from;HAL_to
35681;04-01-2018;3;2018-01-04 17:00:00;2018-01-04 21:00:00;DAF_from;HBC_to
35683;04-01-2018;9;2018-01-04 05:00:00;2018-01-04 09:00:00;DAF_from;HBC_to
47091;04-01-2018;3;2018-01-04 15:00:00;2018-01-04 20:00:00;EBJ_start;DAF_to
61256;04-01-2018;2;2018-01-04 12:00:00;2018-01-04 17:00:00;EBJ_start;HAL_to
69343;04-01-2018;13;2018-01-04 12:00:00;2018-01-04 17:00:00;EBJ_start;HBC_to
77779;04-01-2018;5;2018-01-04 15:00:00;2018-01-04 20:00:00;EBJ_start;MGU_to
79263;04-01-2018;13;2018-01-04 05:00:00;2018-01-04 10:00:00;EBJ_start;MRI_to
85505;04-01-2018;12;2018-01-04 05:00:00;2018-01-04 09:00:00;EBJ_start;NSA_to
115087;04-01-2018;4;2018-01-04 13:00:00;2018-01-04 18:00:00;HAL_from;EBJ_end
115287;04-01-2018;16;2018-01-04 17:00:00;2018-01-04 21:00:00;HAL_from;HBC_to
115950;04-01-2018;1;2018-01-04 05:00:00;2018-01-04 10:00:00;HAL_from;HBC_to
121598;04-01-2018;7;2018-01-04 06:00:00;2018-01-04 10:00:00;HBC_from;CEA_to
127857;04-01-2018;11;2018-01-04 13:00:00;2018-01-04 18:00:00;HBC_from;EBJ_end
127910;04-01-2018;2;2018-01-04 06:00:00;2018-01-04 11:00:00;HBC_from;EBJ_end
128336;04-01-2018;15;2018-01-04 05:00:00;2018-01-04 09:00:00;HBC_from;HAL_to
128427;04-01-2018;1;2018-01-04 13:00:00;2018-01-04 17:00:00;HBC_from;HAL_to
128496;04-01-2018;3;2018-01-04 17:00:00;2018-01-04 21:00:00;HBC_from;HAL_to
132920;04-01-2018;1;2018-01-04 18:00:00;2018-01-04 22:00:00;HBC_from;MRI_to
133084;04-01-2018;1;2018-01-04 06:00:00;2018-01-04 10:00:00;MGU_from;CEA_to
133100;04-01-2018;1;2018-01-04 16:00:00;2018-01-04 20:00:00;MGU_from;CEA_to
149095;04-01-2018;1;2018-01-04 16:00:00;2018-01-04 20:00:00;MGU_from;TYE_to
154083;04-01-2018;15;2018-01-04 06:00:00;2018-01-04 12:00:00;MRI_from;EBJ_end
161533;04-01-2018;5;2018-01-04 06:00:00;2018-01-04 10:00:00;NSA_from;EBJ_end
