;FDATE;DEMAND;BETWEEN_;AND_;DEST_FROM;DEST_TO
3068;08-01-2020;7;2020-01-08 14:00:00;2020-01-08 19:00:00;CEA_from;EBJ_end
3073;08-01-2020;10;2020-01-08 18:00:00;2020-01-08 23:59:00;CEA_from;EBJ_end
20797;08-01-2020;3;2020-01-08 06:00:00;2020-01-08 11:00:00;CEA_from;HAR_to
21965;08-01-2020;1;2020-01-08 18:00:00;2020-01-08 23:00:00;CEA_from;MGU_to
28036;08-01-2020;2;2020-01-08 17:00:00;2020-01-08 21:00:00;DAF_from;CEA_to
29238;08-01-2020;12;2020-01-08 13:00:00;2020-01-08 18:00:00;DAF_from;EBJ_end
39153;08-01-2020;6;2020-01-08 17:00:00;2020-01-08 21:00:00;DAF_from;NSA_to
52905;08-01-2020;5;2020-01-08 15:00:00;2020-01-08 20:00:00;EBJ_start;DAF_to
52911;08-01-2020;16;2020-01-08 11:00:00;2020-01-08 17:00:00;EBJ_start;DAF_to
60524;08-01-2020;9;2020-01-08 04:00:00;2020-01-08 10:00:00;EBJ_start;GOC_to
63351;08-01-2020;2;2020-01-08 16:00:00;2020-01-08 21:00:00;EBJ_start;HAL_to
63566;08-01-2020;11;2020-01-08 12:00:00;2020-01-08 17:00:00;EBJ_start;HAR_to
65127;08-01-2020;3;2020-01-08 16:00:00;2020-01-08 21:00:00;EBJ_start;HBC_to
70240;08-01-2020;9;2020-01-08 16:00:00;2020-01-08 21:00:00;EBJ_start;MGU_to
70259;08-01-2020;13;2020-01-08 08:00:00;2020-01-08 13:00:00;EBJ_start;MGU_to
81090;08-01-2020;9;2020-01-08 15:00:00;2020-01-08 20:00:00;EBJ_start;NSA_to
81093;08-01-2020;16;2020-01-08 04:00:00;2020-01-08 10:00:00;EBJ_start;NSA_to
86965;08-01-2020;20;2020-01-08 15:00:00;2020-01-08 09:00:00;EBJ_start;SMA_to
100001;08-01-2020;2;2020-01-08 17:00:00;2020-01-08 21:00:00;GOC_from;CEA_to
101122;08-01-2020;8;2020-01-08 06:00:00;2020-01-08 12:00:00;GOC_from;EBJ_end
113113;08-01-2020;2;2020-01-08 17:00:00;2020-01-08 22:00:00;HAL_from;EBJ_end
119269;08-01-2020;2;2020-01-08 17:00:00;2020-01-08 21:00:00;HAL_from;HBC_to
119909;08-01-2020;7;2020-01-08 18:00:00;2020-01-08 22:00:00;HAR_from;CEA_to
120030;08-01-2020;1;2020-01-08 14:00:00;2020-01-08 18:00:00;HAR_from;CEA_to
120136;08-01-2020;6;2020-01-08 14:00:00;2020-01-08 19:00:00;HAR_from;EBJ_end
123264;08-01-2020;7;2020-01-08 18:00:00;2020-01-08 22:00:00;HBC_from;EBJ_end
132360;08-01-2020;2;2020-01-08 05:00:00;2020-01-08 09:00:00;HBC_from;HAL_to
142952;08-01-2020;16;2020-01-08 09:00:00;2020-01-08 14:00:00;MGU_from;EBJ_end
143333;08-01-2020;7;2020-01-08 17:00:00;2020-01-08 22:00:00;MGU_from;EBJ_end
143335;08-01-2020;4;2020-01-08 06:00:00;2020-01-08 12:00:00;MGU_from;EBJ_end
156372;08-01-2020;7;2020-01-08 17:00:00;2020-01-08 21:00:00;NSA_from;CEA_to
156971;08-01-2020;7;2020-01-08 05:00:00;2020-01-08 09:00:00;NSA_from;DAF_to
157707;08-01-2020;16;2020-01-08 06:00:00;2020-01-08 11:00:00;NSA_from;EBJ_end
161753;08-01-2020;2;2020-01-08 17:00:00;2020-01-08 21:00:00;NSA_from;GOC_to
