;FDATE;DEMAND;BETWEEN_;AND_;DEST_FROM;DEST_TO
6264;10-06-2019;4;2019-06-10 10:00:00;2019-06-10 15:00:00;CEA_from;EBJ_end
6669;10-06-2019;1;2019-06-10 16:00:00;2019-06-10 22:00:00;CEA_from;EBJ_end
16141;10-06-2019;12;2019-06-10 05:00:00;2019-06-10 10:00:00;CEA_from;GOC_to
16200;10-06-2019;11;2019-06-10 16:00:00;2019-06-10 20:00:00;CEA_from;GOC_to
20510;10-06-2019;2;2019-06-10 05:00:00;2019-06-10 10:00:00;CEA_from;HAL_to
30901;10-06-2019;10;2019-06-10 09:00:00;2019-06-10 14:00:00;DAF_from;EBJ_end
42950;10-06-2019;4;2019-06-10 08:00:00;2019-06-10 13:00:00;EBJ_start;CEA_to
51314;10-06-2019;12;2019-06-10 08:00:00;2019-06-10 13:00:00;EBJ_start;DAF_to
58702;10-06-2019;8;2019-06-10 15:00:00;2019-06-10 20:00:00;EBJ_start;GOC_to
58895;10-06-2019;14;2019-06-10 04:00:00;2019-06-10 09:00:00;EBJ_start;GOC_to
62708;10-06-2019;6;2019-06-10 15:00:00;2019-06-10 20:00:00;EBJ_start;HAL_to
66226;10-06-2019;6;2019-06-10 15:00:00;2019-06-10 20:00:00;EBJ_start;HBC_to
66233;10-06-2019;3;2019-06-10 15:00:00;2019-06-10 21:00:00;EBJ_start;HBC_to
66288;10-06-2019;15;2019-06-10 11:00:00;2019-06-10 16:00:00;EBJ_start;HBC_to
73214;10-06-2019;12;2019-06-10 12:00:00;2019-06-10 17:00:00;EBJ_start;MGU_to
82399;10-06-2019;5;2019-06-10 15:00:00;2019-06-10 20:00:00;EBJ_start;NSA_to
88228;10-06-2019;9;2019-06-10 08:00:00;2019-06-10 14:00:00;EBJ_start;TYW_to
96090;10-06-2019;12;2019-06-10 05:00:00;2019-06-10 09:00:00;GOC_from;CEA_to
96096;10-06-2019;12;2019-06-10 16:00:00;2019-06-10 20:00:00;GOC_from;CEA_to
103083;10-06-2019;11;2019-06-10 16:00:00;2019-06-10 22:00:00;GOC_from;EBJ_end
110994;10-06-2019;14;2019-06-10 06:00:00;2019-06-10 10:00:00;GOC_from;MIN_to
112260;10-06-2019;1;2019-06-10 16:00:00;2019-06-10 20:00:00;HAL_from;CEA_to
113725;10-06-2019;7;2019-06-10 16:00:00;2019-06-10 22:00:00;HAL_from;EBJ_end
118931;10-06-2019;1;2019-06-10 16:00:00;2019-06-10 20:00:00;HAL_from;HBC_to
124619;10-06-2019;11;2019-06-10 13:00:00;2019-06-10 18:00:00;HBC_from;EBJ_end
124871;10-06-2019;1;2019-06-10 17:00:00;2019-06-10 22:00:00;HBC_from;EBJ_end
141133;10-06-2019;9;2019-06-10 13:00:00;2019-06-10 18:00:00;MGU_from;EBJ_end
151542;10-06-2019;10;2019-06-10 13:00:00;2019-06-10 17:00:00;MGU_from;TYE_to
153058;10-06-2019;15;2019-06-10 06:00:00;2019-06-10 11:00:00;MIN_from;EBJ_end
158425;10-06-2019;5;2019-06-10 17:00:00;2019-06-10 22:00:00;NSA_from;EBJ_end
168537;10-06-2019;9;2019-06-10 13:00:00;2019-06-10 17:00:00;TYE_from;MGU_to
172974;10-06-2019;6;2019-06-10 10:00:00;2019-06-10 15:00:00;TYW_from;EBJ_end
