;FDATE;DEMAND;BETWEEN_;AND_;DEST_FROM;DEST_TO
4139;02-12-2019;4;2019-12-02 05:00:00;2019-12-02 11:00:00;CEA_from;EBJ_end
4653;02-12-2019;1;2019-12-02 17:00:00;2019-12-02 23:00:00;CEA_from;EBJ_end
18835;02-12-2019;12;2019-12-02 05:00:00;2019-12-02 09:00:00;CEA_from;GOC_to
19489;02-12-2019;4;2019-12-02 17:00:00;2019-12-02 21:00:00;CEA_from;GOC_to
19602;02-12-2019;5;2019-12-02 17:00:00;2019-12-02 22:00:00;CEA_from;GOC_to
20723;02-12-2019;1;2019-12-02 17:00:00;2019-12-02 21:00:00;CEA_from;HAL_to
20861;02-12-2019;3;2019-12-02 05:00:00;2019-12-02 10:00:00;CEA_from;HAR_to
23664;02-12-2019;3;2019-12-02 10:00:00;2019-12-02 14:00:00;CEA_from;TYW_to
29259;02-12-2019;12;2019-12-02 09:00:00;2019-12-02 14:00:00;DAF_from;EBJ_end
35470;02-12-2019;2;2019-12-02 17:00:00;2019-12-02 21:00:00;DAF_from;HAL_to
52627;02-12-2019;14;2019-12-02 08:00:00;2019-12-02 13:00:00;EBJ_start;DAF_to
59692;02-12-2019;10;2019-12-02 15:00:00;2019-12-02 21:00:00;EBJ_start;GOC_to
63090;02-12-2019;9;2019-12-02 16:00:00;2019-12-02 21:00:00;EBJ_start;HAL_to
63129;02-12-2019;2;2019-12-02 08:00:00;2019-12-02 14:00:00;EBJ_start;HAL_to
63723;02-12-2019;1;2019-12-02 15:00:00;2019-12-02 20:00:00;EBJ_start;HAR_to
65062;02-12-2019;13;2019-12-02 12:00:00;2019-12-02 17:00:00;EBJ_start;HBC_to
71157;02-12-2019;13;2019-12-02 12:00:00;2019-12-02 17:00:00;EBJ_start;MGU_to
81289;02-12-2019;5;2019-12-02 16:00:00;2019-12-02 21:00:00;EBJ_start;NSA_to
87961;02-12-2019;10;2019-12-02 08:00:00;2019-12-02 14:00:00;EBJ_start;TYW_to
98880;02-12-2019;12;2019-12-02 17:00:00;2019-12-02 21:00:00;GOC_from;CEA_to
99555;02-12-2019;9;2019-12-02 05:00:00;2019-12-02 09:00:00;GOC_from;CEA_to
101370;02-12-2019;12;2019-12-02 18:00:00;2019-12-02 23:00:00;GOC_from;EBJ_end
113351;02-12-2019;4;2019-12-02 17:00:00;2019-12-02 22:00:00;HAL_from;EBJ_end
119180;02-12-2019;4;2019-12-02 18:00:00;2019-12-02 22:00:00;HAL_from;HBC_to
119907;02-12-2019;1;2019-12-02 16:00:00;2019-12-02 21:00:00;HAR_from;CEA_to
123820;02-12-2019;14;2019-12-02 13:00:00;2019-12-02 18:00:00;HBC_from;EBJ_end
142839;02-12-2019;12;2019-12-02 13:00:00;2019-12-02 18:00:00;MGU_from;EBJ_end
152218;02-12-2019;9;2019-12-02 13:00:00;2019-12-02 17:00:00;MGU_from;TYE_to
157937;02-12-2019;3;2019-12-02 17:00:00;2019-12-02 22:00:00;NSA_from;EBJ_end
163260;02-12-2019;1;2019-12-02 05:00:00;2019-12-02 11:00:00;SKJ_from;EBJ_end
169214;02-12-2019;9;2019-12-02 13:00:00;2019-12-02 17:00:00;TYE_from;MGU_to
169659;02-12-2019;1;2019-12-02 10:00:00;2019-12-02 14:00:00;TYW_from;CEA_to
173223;02-12-2019;9;2019-12-02 10:00:00;2019-12-02 15:00:00;TYW_from;EBJ_end
