;FDATE;DEMAND;BETWEEN_;AND_;DEST_FROM;DEST_TO
4003;10-12-2019;10;2019-12-10 05:00:00;2019-12-10 11:00:00;CEA_from;EBJ_end
23697;10-12-2019;9;2019-12-10 05:00:00;2019-12-10 09:00:00;CEA_from;TYW_to
29409;10-12-2019;10;2019-12-10 10:00:00;2019-12-10 15:00:00;DAF_from;EBJ_end
45138;10-12-2019;13;2019-12-10 04:00:00;2019-12-10 09:00:00;EBJ_start;CEA_to
51862;10-12-2019;9;2019-12-10 09:00:00;2019-12-10 14:00:00;EBJ_start;DAF_to
52711;10-12-2019;1;2019-12-10 05:00:00;2019-12-10 10:00:00;EBJ_start;DAF_to
59693;10-12-2019;7;2019-12-10 15:00:00;2019-12-10 21:00:00;EBJ_start;GOC_to
60091;10-12-2019;9;2019-12-10 11:00:00;2019-12-10 17:00:00;EBJ_start;GOC_to
63138;10-12-2019;5;2019-12-10 09:00:00;2019-12-10 14:00:00;EBJ_start;HAL_to
63168;10-12-2019;10;2019-12-10 05:00:00;2019-12-10 10:00:00;EBJ_start;HAL_to
63596;10-12-2019;1;2019-12-10 04:00:00;2019-12-10 09:00:00;EBJ_start;HAR_to
64853;10-12-2019;8;2019-12-10 15:00:00;2019-12-10 21:00:00;EBJ_start;HBC_to
70610;10-12-2019;12;2019-12-10 08:00:00;2019-12-10 13:00:00;EBJ_start;MGU_to
81337;10-12-2019;1;2019-12-10 09:00:00;2019-12-10 14:00:00;EBJ_start;NSA_to
81438;10-12-2019;3;2019-12-10 05:00:00;2019-12-10 10:00:00;EBJ_start;NSA_to
85655;10-12-2019;5;2019-12-10 11:00:00;2019-12-10 17:00:00;EBJ_start;SKJ_to
101265;10-12-2019;9;2019-12-10 13:00:00;2019-12-10 18:00:00;GOC_from;EBJ_end
113183;10-12-2019;2;2019-12-10 17:00:00;2019-12-10 22:00:00;HAL_from;EBJ_end
113282;10-12-2019;9;2019-12-10 06:00:00;2019-12-10 11:00:00;HAL_from;EBJ_end
114288;10-12-2019;2;2019-12-10 11:00:00;2019-12-10 15:00:00;HAL_from;EBJ_end
118809;10-12-2019;1;2019-12-10 17:00:00;2019-12-10 21:00:00;HAL_from;HBC_to
123919;10-12-2019;6;2019-12-10 18:00:00;2019-12-10 22:00:00;HBC_from;EBJ_end
132213;10-12-2019;1;2019-12-10 17:00:00;2019-12-10 21:00:00;HBC_from;HAL_to
142898;10-12-2019;10;2019-12-10 09:00:00;2019-12-10 14:00:00;MGU_from;EBJ_end
152442;10-12-2019;9;2019-12-10 09:00:00;2019-12-10 13:00:00;MGU_from;TYE_to
157727;10-12-2019;2;2019-12-10 06:00:00;2019-12-10 11:00:00;NSA_from;EBJ_end
162013;10-12-2019;4;2019-12-10 06:00:00;2019-12-10 10:00:00;NSA_from;SKJ_to
163269;10-12-2019;4;2019-12-10 13:00:00;2019-12-10 18:00:00;SKJ_from;EBJ_end
169281;10-12-2019;9;2019-12-10 09:00:00;2019-12-10 13:00:00;TYE_from;MGU_to
169557;10-12-2019;8;2019-12-10 05:00:00;2019-12-10 09:00:00;TYW_from;CEA_to
