;FDATE;DEMAND;BETWEEN_;AND_;DEST_FROM;DEST_TO
4014;05-12-2019;4;2019-12-05 14:00:00;2019-12-05 19:00:00;CEA_from;EBJ_end
18838;05-12-2019;15;2019-12-05 05:00:00;2019-12-05 10:00:00;CEA_from;GOC_to
19534;05-12-2019;10;2019-12-05 17:00:00;2019-12-05 21:00:00;CEA_from;GOC_to
29247;05-12-2019;7;2019-12-05 13:00:00;2019-12-05 18:00:00;DAF_from;EBJ_end
45309;05-12-2019;5;2019-12-05 12:00:00;2019-12-05 18:00:00;EBJ_start;CEA_to
52452;05-12-2019;13;2019-12-05 12:00:00;2019-12-05 17:00:00;EBJ_start;DAF_to
60190;05-12-2019;13;2019-12-05 08:00:00;2019-12-05 13:00:00;EBJ_start;GOC_to
60513;05-12-2019;1;2019-12-05 15:00:00;2019-12-05 21:00:00;EBJ_start;GOC_to
63094;05-12-2019;5;2019-12-05 16:00:00;2019-12-05 21:00:00;EBJ_start;HAL_to
64944;05-12-2019;9;2019-12-05 16:00:00;2019-12-05 21:00:00;EBJ_start;HBC_to
70558;05-12-2019;8;2019-12-05 15:00:00;2019-12-05 21:00:00;EBJ_start;MGU_to
70917;05-12-2019;8;2019-12-05 12:00:00;2019-12-05 17:00:00;EBJ_start;MGU_to
81281;05-12-2019;11;2019-12-05 04:00:00;2019-12-05 09:00:00;EBJ_start;NSA_to
98890;05-12-2019;15;2019-12-05 17:00:00;2019-12-05 21:00:00;GOC_from;CEA_to
99574;05-12-2019;9;2019-12-05 05:00:00;2019-12-05 09:00:00;GOC_from;CEA_to
101159;05-12-2019;12;2019-12-05 06:00:00;2019-12-05 11:00:00;GOC_from;EBJ_end
101186;05-12-2019;3;2019-12-05 17:00:00;2019-12-05 22:00:00;GOC_from;EBJ_end
101438;05-12-2019;13;2019-12-05 09:00:00;2019-12-05 14:00:00;GOC_from;EBJ_end
113286;05-12-2019;4;2019-12-05 17:00:00;2019-12-05 22:00:00;HAL_from;EBJ_end
115172;05-12-2019;1;2019-12-05 05:00:00;2019-12-05 09:00:00;HAL_from;GOC_to
119170;05-12-2019;2;2019-12-05 17:00:00;2019-12-05 21:00:00;HAL_from;HBC_to
123704;05-12-2019;11;2019-12-05 17:00:00;2019-12-05 22:00:00;HBC_from;EBJ_end
132208;05-12-2019;2;2019-12-05 17:00:00;2019-12-05 21:00:00;HBC_from;HAL_to
142853;05-12-2019;10;2019-12-05 14:00:00;2019-12-05 19:00:00;MGU_from;EBJ_end
152363;05-12-2019;1;2019-12-05 17:00:00;2019-12-05 21:00:00;MGU_from;TYE_to
161773;05-12-2019;11;2019-12-05 05:00:00;2019-12-05 09:00:00;NSA_from;GOC_to
164592;05-12-2019;26;2019-12-04 23:00:00;2019-12-05 11:00:00;SMA_from;EBJ_end
