;FDATE;DEMAND;BETWEEN_;AND_;DEST_FROM;DEST_TO
5635;08-07-2019;11;2019-07-08 06:00:00;2019-07-08 11:00:00;CEA_from;EBJ_end
16865;08-07-2019;13;2019-07-08 05:00:00;2019-07-08 09:00:00;CEA_from;GOC_to
16886;08-07-2019;11;2019-07-08 17:00:00;2019-07-08 21:00:00;CEA_from;GOC_to
23267;08-07-2019;3;2019-07-08 05:00:00;2019-07-08 09:00:00;CEA_from;RLF_to
23931;08-07-2019;2;2019-07-08 10:00:00;2019-07-08 14:00:00;CEA_from;TYW_to
30476;08-07-2019;16;2019-07-08 09:00:00;2019-07-08 14:00:00;DAF_from;EBJ_end
36222;08-07-2019;1;2019-07-08 13:00:00;2019-07-08 17:00:00;DAF_from;HBC_to
51480;08-07-2019;16;2019-07-08 08:00:00;2019-07-08 13:00:00;EBJ_start;DAF_to
51795;08-07-2019;2;2019-07-08 15:00:00;2019-07-08 20:00:00;EBJ_start;DAF_to
58776;08-07-2019;13;2019-07-08 15:00:00;2019-07-08 20:00:00;EBJ_start;GOC_to
62761;08-07-2019;8;2019-07-08 15:00:00;2019-07-08 21:00:00;EBJ_start;HAL_to
66175;08-07-2019;14;2019-07-08 11:00:00;2019-07-08 17:00:00;EBJ_start;HBC_to
72764;08-07-2019;12;2019-07-08 12:00:00;2019-07-08 17:00:00;EBJ_start;MGU_to
82177;08-07-2019;4;2019-07-08 15:00:00;2019-07-08 20:00:00;EBJ_start;NSA_to
88177;08-07-2019;10;2019-07-08 08:00:00;2019-07-08 14:00:00;EBJ_start;TYW_to
96846;08-07-2019;11;2019-07-08 05:00:00;2019-07-08 10:00:00;GOC_from;CEA_to
96910;08-07-2019;14;2019-07-08 16:00:00;2019-07-08 20:00:00;GOC_from;CEA_to
102260;08-07-2019;12;2019-07-08 17:00:00;2019-07-08 22:00:00;GOC_from;EBJ_end
111552;08-07-2019;3;2019-07-08 05:00:00;2019-07-08 09:00:00;GOC_from;RLF_to
113643;08-07-2019;7;2019-07-08 17:00:00;2019-07-08 22:00:00;HAL_from;EBJ_end
124443;08-07-2019;15;2019-07-08 13:00:00;2019-07-08 18:00:00;HBC_from;EBJ_end
141304;08-07-2019;12;2019-07-08 13:00:00;2019-07-08 18:00:00;MGU_from;EBJ_end
151676;08-07-2019;8;2019-07-08 13:00:00;2019-07-08 17:00:00;MGU_from;TYE_to
158281;08-07-2019;2;2019-07-08 17:00:00;2019-07-08 22:00:00;NSA_from;EBJ_end
162202;08-07-2019;5;2019-07-08 17:00:00;2019-07-08 21:00:00;RLF_from;CEA_to
162552;08-07-2019;1;2019-07-08 17:00:00;2019-07-08 21:00:00;RLF_from;GOC_to
163565;08-07-2019;1;2019-07-08 05:00:00;2019-07-08 11:00:00;SKJ_from;EBJ_end
168641;08-07-2019;8;2019-07-08 13:00:00;2019-07-08 17:00:00;TYE_from;MGU_to
169855;08-07-2019;2;2019-07-08 10:00:00;2019-07-08 14:00:00;TYW_from;CEA_to
173106;08-07-2019;13;2019-07-08 10:00:00;2019-07-08 15:00:00;TYW_from;EBJ_end
